dh_deplete,h_crit,K_asp_eff,mu_boundary,A_close_max,A_close_mean,A_close_over_Afilm_max,A_close_over_Afilm_mean,Fn_asp_max,Fn_asp_mean,Fn_asp_over_Fnref_max,Fn_asp_over_Fnref_mean,Ft_fluid_max,Ft_asp_max,Ft_total_max,mu_TFF_alt_max,mu_total_max,mu_total_mean,mu_total_forward_mean,mu_total_reverse_mean,theta_min,pfilm_max,PARAM_SCORE,PASS_LEVEL,FAIL_REASON
2.300,0.700,5.000,0.100,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
2.300,0.700,5.000,0.150,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
2.300,0.700,5.000,0.200,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
2.300,0.700,7.500,0.100,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
2.300,0.700,7.500,0.150,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
2.300,0.700,7.500,0.200,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
2.300,0.700,10.000,0.100,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
2.300,0.700,10.000,0.150,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
2.300,0.700,10.000,0.200,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
2.300,0.700,12.500,0.100,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
2.300,0.700,12.500,0.150,3.98039948173e-06,3.11977508245e-06,0.0454532609108,0.0356255575493,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,1.62296730178,FAIL,COF_FAIL;LOAD_FAIL;SIGN_FAIL;
